Descrição produto;Preço;Código de barras;
CONFEITO DE CHOCOLATE AO LEITE M&MS PACOTE 45G;RR$ 4,90;7896423470697;
CHOCOLATE BRANCO RECHEIO CHOCOLATE TORTUGUITA PACOTE 15,5G;RR$ 2,60;7898142865068;
ACHOCOLATADO PÓ NESCAU LATA 200G;RR$ 10,90;7891000379585;
SALGADINHO DE BATATA ORIGINAL PRINGLES TUBO 104G;RR$ 14,90;7896004006277;
CREME DENTAL MENTA REFRESCANTE COLGATE MÁXIMA PROTEÇÃO ANTICÁRIES CAIXA 90G;RR$ 7,20;7891024134702;
LIMPADOR MULTIUSO COM ÁLCOOL LAVANDA VEJA GOLD SQUEEZE 500ML;RR$ 9,60;7891035210334;
ESCOVA DENTAL MACIA COLGATE CLASSIC CLEAN CABEÇA NORMAL;RR$ 6,20;7891024184509;
CHOCOLATE AO LEITE HERSHEYS PACOTE 82G;RR$ 7,80;7899970402814;
CHOCOLATE AO LEITE LACTA DIAMANTE NEGRO PACOTE 80G;RR$ 7,80;7622210674050;
CHOCOLATE BRANCO COOKIES N CREME HERSHEYS PACOTE 77G;RR$ 7,80;7899970402852;
BISCOITO COOKIE CHOCOLATE BAUDUCCO PACOTE 60G;RR$ 5,50;7891962054476;
TOALHA DE PAPEL FOLHA DUPLA SORELLA PACOTE 2 UN;RR$ 8,30;7896053460013;
SHAMPOO PANTENE HIDRATAÇÃO FRASCO 175ML;RR$ 16,90;7500435125383;
BISCOITO LEITE ISABELA PACOTE 350G;RR$ 6,90;7896022086831;
AMENDOIM HITTNUTS SEM PELE;RR$ 3,80;7896035691183;
BATATA PALHA TRADICIONAL YOKI SACHÊ 105G;RR$ 12,50;7891095031115;
SALGADINHO PRESUNTO FANDANGOS 35G;RR$ 6,20;7892840822849;
SALGADINHO BACON TORCIDA 70G;RR$ 4,20;7892840816865;
BATATA FRITA ONDULADA ORIGINAL ELMA CHIPS RUFFLES PACOTE 76G;RR$ 8,90;7892840818203;
SALGADINHO REQUEIJAO CHEETOS 40G;RR$ 5,90;7892840822309;
ESPONJA ASSOLAN 1UN;RR$ 3,20;7896090105007;
SALGADINHO QUEIJO TORCIDA 70G;RR$ 4,20;7892840816919;
SALGADINHO CHURRASCO TORCIDA 70G;RR$ 4,20;7892840816896;
LEITE COND 395G FRIMESA SEMI DESNATADO;RR$ 6,90;7896275982393;
ÁGUA MINERAL CRYSTAL 500ML;RR$ 3,50;7898944548015;
PAO FORMA INTEGRAL VISCONTI 400G;RR$ 8,90;7891962051345;
OVOS DE GALINHA MARUTANI 12UN;RR$ 13,90;7898019061210;
SUCO LARANJA INTEGRAL PRATS 900ML;RR$ 15,90;7898953148169;
SUCO UVA PRATS 900ML;RR$ 16,90;7898953148220;
BOLO GOTAS CHOCOLATE SANTA EDWIGES 250G;RR$ 7,90;7896064203586;
BOLO MESCLADO SANTA EDWIGES 200G;RR$ 7,90;7896064203579;
SUCO LARANJA INTEGRAL PRATS 300ML;RR$ 7,20;7898953148701;
PAO FORMA TRADICIONAL VISCONTI 400G;RR$ 8,50;7891962051338;
QUEIJO MUSSARELA FAT PRESIDENT 150G;RR$ 12,30;7898955617526;
VINHO TINTO SUAVE BORDO SAN MARTIN 750ML;RR$ 16,90;7896267702725;
VINHO CHILENO CABERNET SAUVIGNON EXPLORADOR 750 ml;RR$ 42,40;7808725408841;
REQUEIJÃO CREMOSO TRADICIONAL TIROL COPO 180G;RR$ 9,90;7896294900712;
SALSICHA HOT DOG AURORA 500GR;RR$ 11,90;7891164005412;
FAROFA DE MILHO PINDUCA PACOTE 400G;RR$ 11,90;7896015910600;
BEBIDA LÁCTEA UHT CHOCOLATE BATAVO CHOCO MILK CAIXA 200ML;RR$ 4,90;7891097013355;
OVOS GRANDES BRANCOS MARUTANI 12UN ;RR$ 11,90;7898019060053;
TRIDENT HORTELA E MENTA 8G;RR$ 2,70;7895800304211;
PAO LEITE FATIADO VO NEUSA 450G;RR$ 8,90;7898922435054;
HALLS EXTRA MENTA 27,5G;RR$ 2,50;78938830;
BALA CEREJA HALLS PACOTE 28G;RR$ 2,50;78938793;
BISCOITO RECHEADO MORANGO PASSATEMPO PACOTE 130G;RR$ 4,60;7891000241295;
BOLACHA OREO CHOCOLATE 90G;RR$ 8,40;7622300873554;
BISCOITO RECHEADO CHOCOLATE PASSATEMPO PACOTE 130G;RR$ 4,60;7891000241356;
SALGADINHO DE MILHO QUEIJO NACHO DORITOS PACOTE 84G;RR$ 11,80;7892840815912;
PIPOCA PARA MICRO-ONDAS COM SAL COBERTURA MANTEIGA YOKI PACOTE 105G;RR$ 7,20;7891095911479;
QUEIJO RALADO FINO IPANEMA 40G;RR$ 7,20;7896114101817;
REQUEIJÃO SULMINAS 200G;RR$ 7,90;7896825400841;
SUCO MARACUJA MARATA CAIXA 1L;RR$ 7,50;7898378180072;
SUCO ABACAXI NUTRINECTAR CAIXA 1L;RR$ 6,80;7898920195813;
VINHO CHILENO CABERNET SAUVIGNON TARAPACÁ COSECHA  750ML;RR$ 42,40;7804340808011;
PAPEL ALUMINIO PACK PANELUX 28CMX7.5;RR$ 5,50;7898701030111;
VINHO SAN MARTIN TINTO SECO 750ML;RR$ 16,90;7896267701650;
PÃO DE LEITE SEVEN BOYS PACOTE 450G;RR$ 10,20;7891193010081;
SALGADINHO PARMESAO CHEETOS 50G;RR$ 5,90;7892840817909;
VINHO CHILENO CABERNET CHILANO 750ML;RR$ 33,90;7804641500010;
SALGADINHO DE BATATA QUEIJO PRINGLES TUBO 109G;RR$ 14,90;7896004006284;
SALGADINHO DE BATATA CHURRASCO PRINGLES TUBO 109G;RR$ 14,90;7896004006406;
SALGADINHO BATATA RUFFLES 40G;RR$ 8,80;7892840820121;
SALGADINHO NACHO DORITOS PACOTE 45G;RR$ 9,20;7892840820145;
FERMENTO BIOLOGICO FLEISCHMANN 10G;RR$ 2,90;7898409957970;
SUCO ABACAXI MARATA 1L;RR$ 7,50;7898378180768;
SUCO MORANGO NUTRI 1L;RR$ 6,80;7898961490434;
SALGADINHO DE BATATA CREME E CEBOLA PRINGLES TUBO 109G;RR$ 14,90;7896004006239;
CHOCOLATE BEL MORANGUETE JELLY 30G;RR$ 2,80;7896066766287;
VINHO CHILENO CABERNET EXPLORADOR 750ml;RR$ 42,40;07808725408841;
BATATA PALHA EXTRAFINA YOKI 100G;RR$ 12,50;7891095031122;
BOLO CHOCOLATE SANTA EDWIGES 250G;RR$ 7,20;7896064203562;
MOLHO DE TOMATE TRADICIONAL PREDILECTA SACHÊ 300G;RR$ 3,70;7896292333000;
SHAMPOO PANTENE COLAGENO 175ml;RR$ 16,90;7500435196970;
ARROZ INTEGRAL PARBOILIZADO LONGO FINO URBANO 1KG;RR$ 9,90;7896038308057;
DESODORANTE NIVEA MEN ORIGINAL PROTECT 150 ML;RR$ 17,90;4005900396938;
DESODORANTE AEROSSOL NIVEA PEARL & BEAUTY 150ML;RR$ 18,80;4005808837311;
DESINFETANTE ORIGINAL PINHO SOL FRASCO 1L;RR$ 15,20;7891024194607;
PRESUNTO SEARA FATIADO 180G;RR$ 10,80;7894904268511;
SUCO GOIABA MARATÁ CAIXA 1L;RR$ 7,50;7898378180041;
SORVETE FLOCOS NEVAL POTE 1L;RR$ 19,90;7896549401117;
SORVETE MORANGO NEVAL POTE 1L;RR$ 19,90;7896549400011;
SORVETE CHOCOLATE NEVAL POTE 1L;RR$ 19,90;7896549401018;
SORVETE NAPOLITANO NEVAL POTE 1L;RR$ 19,90;7896549401599;
SORVETE NAPOLITANO CLASSICOS NEVAL POTE 2L;RR$ 34,90;7896549400028;
SORVETE SENSAÇÃO ESPECIAIS NEVAL POTE 2L;RR$ 36,90;7896549400066;
SORVETE BIG SUNDAE MORANGO NEVAL POTE 2L;RR$ 34,90;7896549400080;
SORVETE BIG SUNDAE MORANGO NEVAL 2L;RR$ 34,90;789654900097;
SORVETE PALIFRUTY MORANGO NEVAL;RR$ 4,80;7896549406044;
SORVETE SKIMO NEVAL 50G;RR$ 7,70;7896549402084;
SORVETE SUNDAE MORANGO NEVAL;RR$ 9,90;7896549404002;
SORVETE NAPOLITANO NEVAL COPO 95G;RR$ 9,90;7896549404101;
SORVETE MAXIMUM PETIT GATEAU NEVAL;RR$ 12,80;7896549408062;
SORVETE IOGURTE COM AMORA NEVAL POTE 1L;RR$ 19,90;7896549401650;
SORVETE FLOCOS CLASSICOS NEVAL POTE 2L;RR$ 34,90;7896549400073;
SORVETE BRIGADEIRO ESPECIAL NEVAL 80G;RR$ 10,80;7896549405177;
SORVETE KROC BRIGADEIRO NEVAL;RR$ 10,80;7896549403302;
SORVETE CHOCODUO ESPECIAL NEVAL 65G;RR$ 10,70;7896549405153;
VINHO CHILENO CHARDONNAY COSECHA TARAPACA  750ML;RR$ 42,40;7804340100054;
VINHO CHILENO SAUVIGNON BLANC TARAPACÁ COSECHA 750ML;RR$ 42,40;7804340808028;
VINHO CHILENO MERLOT EXPLORADOR 750ml;RR$ 42,40;7808725408858;
KETCHUP HEINZ 397G FRASCO;RR$ 19,90;7896102503708;
MOSTARDA AMARELA TRADICIONAL HELLMANNS SQUEEZE 170G;RR$ 13,90;7891150027794;
LIMPADOR MULTI USO LIMPOL 500ML CLASSICO;RR$ 9,90;7891022860580;
BOLO SANTA EDWIGES LARANJA 200g;RR$ 6,90;07896064205245;
SABAO BARRA YPE NEUTRO 180G;RR$ 2,80;7896098905913;
MOCOCA CAIXA CREME DE LEITE;RR$ 2,90;7891030003467;
ÁGUA MINERAL COM GÁS CRYSTAL GARRAFA 500ML;RR$ 3,50;7894900531008;
ÁGUA MINERAL NATURAL SEM GÁS CRYSTAL GARRAFA 1,5L;RR$ 6,50;7894900530032;
CERVEJA PILSNER DUPLO MALTE BRAHMA LATA 269ML;RR$ 4,80;7891991295277;
ESCOVA DENTAL ORAL B 35;RR$ 5,90;7500435134415;
NÉCTAR UVA DEL VALLE CAIXA 200ML;RR$ 2,90;7894900660432;
NÉCTAR LARANJA DEL VALLE CAIXA 1L;RR$ 9,90;7898341430111;
NÉCTAR ABACAXI DEL VALLE CAIXA 1L;RR$ 9,90;7894900660364;
ACHOCOLATADO NESCAU 180ml;RR$ 4,80;7891000359822;
MAIONESE HELLMANNS POTE 250G;RR$ 8,90;7894000050027;
WAFER CHOCOLATE LACTA BIS XTRA PACOTE 45G ;RR$ 4,50;7622300988470;
CERVEJA HEINEKEN LATA 350ML;RR$ 6,30;7896045506873;
CERVEJA PURO MALTE EISENBAHN LATA 350ML;RR$ 5,30;7898367983790;
CERVEJA SPATEN LATA 269ML;RR$ 4,40;7891991303347;
ERVILHA E MILHO VERDE QUERO LATA 170G ;RR$ 7,40;7896102500448;
ERVA-MATE LARANJEIRAS;RR$ 12,90;7896072378672;
AVEIA EM FLOCOS QUAKER CAIXA 165G;RR$ 7,20;7892840815752;
COMPOSTO LÁCTEO NINHO FORTI+ LATA 380G;RR$ 24,90;7891000284933;
VINHO SAN MARTIN TINTO SUAVE 750ML;RR$ 16,90;7896267701896;
COOKIE CHOCOLATE COM GOTAS CHOCOLATE BRANCO BAUDUCCO 96G;RR$ 6,90;7891962067629;
COOKIE ORIGINAL BAUDUCCO PACOTE 100G;RR$ 7,20;7891962054100;
FEIJOADA BORDON 430G;RR$ 11,90;7896031224583;
MACARRÃO INSTANTÂNEO BOLONHESA CUP NOODLES COPO 72G;RR$ 7,60;7891079013120;
SOPA0 MAGGI COSTELA 200G;RR$ 12,80;7891000026182;
CEREAL CHOCOLATE KELLOGGS SUCRILHOS PACOTE 120G;RR$ 13,50;7896004006604;
BOMBOM PRESTÍGIO PACOTE 33G;RR$ 2,90;7891000460207;
BOMBOM LACTA FAVORITOS CAIXA 250,6G;RR$ 16,40;7622210596413;
MACARRÃO INSTANTÂNEO CARNE SUAVE TURMA DA MÔNICA NISSIN MIOJO PACOTE 85G;RR$ 3,60;7891079001004;
BIS BRANCO LACTA 100,8G;RR$ 8,20;7622210575999;
BIS ORIGINAL LACTA 100,8G;RR$ 8,20;7622210575975;
LEITE CONDENSADO SEMIDESNATADO PIRACANJUBA CAIXA 395G;RR$ 9,20;7898215152002;
GOMA DE MASCAR TUTTI FRUTTI TRIDENT ENVELOPE 8G 5 UN;RR$ 2,90;7895800430002;
HALLS MORANGO 28G;RR$ 2,50;78938847;
HALLS EXTRA FORTE 27,5G;RR$ 2,50;78938816;
BOMBOM TWIX PACOTE 15G;RR$ 2,50;7896423424140;
OVOS MARUTANI 12UN ;RR$ 15,90;7898019061203;
REFRIGERANTE GUARANÁ ANTARCTICA GARRAFA 200ML;RR$ 2,40;7891991014908;
REFRIGERANTE GUARANÁ ZERO AÇÚCAR ANTARCTICA GARRAFA 200ML;RR$ 2,40;7891991016124;
CREME PARA PENTEAR PANTENE LISO EXTREMO FRASCO 240G;RR$ 18,80;7506195167281;
CHÁ ERVA-DOCE CHÁ LEÃO CAIXA 16G 10 UN;RR$ 5,60;7891098001504;
MACARRÃO RENATA PACOTE 500G;RR$ 6,30;7896022200282;
 CHOCOLATE  LACTA LAKA + DIAMANTE NEGRO PACOTE 80G;RR$ 8,20;7622210575630;
ENERGÉTICO MONSTER ZERO LATA 473ML;RR$ 9,90;070847022305;
ENERGÉTICO MONSTER LATA 473ML;RR$ 9,90;0070847022015;
ENERGÉTICO MONSTER LATA 473ML;RR$ 9,90;070847022015;
BISCOITO ORIGINAL CLUB SOCIAL 24G;RR$ 1,60;7622300990732;
LEITE PÓ INTEGRAL NINHO LATA 380G;RR$ 24,90;7891000325858;
ENERGÉTICO RED BULL 250ML;RR$ 11,40;611269991000;
REFRIGERANTE UVA FANTA LATA 350ML;RR$ 4,30;7894900050011;
NÉCTAR MARACUJÁ DEL VALLE LATA 290ML;RR$ 4,10;7894900660302;
FARINHA DE TRIGO VENTURELLI 1KG;RR$ 7,20;7896534400200;
BISCOITO COOKIE COM GOTAS DE CHOCOLATE COBERTURA CHOCOLATE BAUDUCCO MAXI PACOTE 96G;RR$ 6,90;7891962054124;
ENERGETICO FRUTAS TROPICAIS RED BULL 250ML;RR$ 11,40;9002490229160;
SORVETE NEVAL MAXIMUM TRUFA70G;RR$ 12,40;7896549408086;
SALGADINHO QUEIJO NACHO DORITOS 32G;RR$ 6,40;7892840822385;
SALSICHA HOT-DOG SEARA 500G 10 UN;RR$ 13,80;7894904005482;
SHAMPOO PANTENE EQUILÍBRIO 175ML;RR$ 16,90;7500435209342;
FEIJÃO PRETO PONTAROLLO PREMIUM PACOTE 1KG;RR$ 11,30;7898007290202;
NÉCTAR MARACUJÁ DEL VALLE CAIXA 1L;RR$ 9,90;7898341430074;
NÉCTAR UVA DEL VALLE CAIXA 1L;RR$ 9,90;7898341430098;
NÉCTAR GOIABA DEL VALLE LATA 290ML;RR$ 4,10;7894900660265;
AMEND.PETTIZ DORI 50G PIMENTA;RR$ 5,90;7896058593150;
AMEND DORI PETTIZ CEB E SALSA 50G;RR$ 5,90;7896058593167;
JAZAM COLORETI 11G MINI;RR$ 1,50;7896383000446;
VINHO CHILENO BRANCO SECO RESERVA VENTISQUERO 750 ML;RR$ 42,40;7808725400838;
VINHO TINTO CHILANO MERLOT 750ML;RR$ 33,90;7804641500027;
BALA MENTOL HALLS PACOTE 28G;RR$ 2,20;78938823;
APRESUNTADO SEARA FATIADO 180G;RR$ 8,20;7894904268528;
LEITE UHT INTEGRAL PARMALAT CAIXA COM TAMPA 1L;RR$ 7,90;7896034610017;
DETERGENTE LÍQUIDO NEUTRO LIMPOL SQUEEZE 500ML;RR$ 7,90;7898559647240;
ADOÇANTE ZERO-CAL 100ML;RR$ 9,80;7896094910904;
CARVÃO VEGETAL PADRÃO 2,5KG;RR$ 21,60;7897853500022;
LEITE INTEGRAL TIROL CAIXA 1L;RR$ 8,90;7896256601848;
TRIDENT MELANCIA ENVELOPE 8G 5 UN;RR$ 2,90;7895800309780;
MENTOS SPEARMINT PURE FRESH ENVELOPE 8,5G 5 UN;RR$ 2,70;7895144892931;
MILHO PARA PIPOCA TIPO 1 YOKI PACOTE 400G;RR$ 5,90;7891095911356;
ESPONJA VIP 1UN;RR$ 2,80;7896314707871;
VINHO BRANCO CANCILLER TORRENTES 750ml;RR$ 33,90;7790314066511;
SALGADINHO LUA PARMESÃO ELMA CHIPS CHEETOS PACOTE 35G;RR$ 5,90;7892840822286;
ARROZ TIO URBANO 1KG;RR$ 10,90;7896038321056;
PRESUNTO AURORA COZIDO S/ CAPA 180G;RR$ 10,90;7891164007164;
BISCOITO COOKIE CHOCOLATE BAUDUCCO PACOTE 100G;RR$ 6,20;7891962054117;
SAUVIGNON BLANC VALLE CENTRAL GARRAFA 750ML;RR$ 49,90;7804350596229;
VINHO RESERVADO CABERNET SAUVIGNON VALLE CENTRAL750ML;RR$ 42,40;7804320116846;
VINHO CANCILLER RESERVA 750ML MALBEC;RR$ 42,40;7790314008030;
MOLHO DE TOMATE TRADICIONAL QUERO SACHÊ 300G;RR$ 3,90;7896102501872;
PALITO ROLIÇO GINA 100 UN;RR$ 1,90;7896051020127;
ARROZ PRATO FINO BRANCO 1KG;RR$ 12,50;7896290300189;
BOMBOM COM RECHEIO DE MORANGO STIKADINHO 12,3G;RR$ 1,40;78929340;
MACARRÃO INSTANTÂNEO GALINHA CAIPIRA CUP NOODLES COPO 69G;RR$ 7,60;7891079013038;
BISCOITO OREO PACOTE 36G;RR$ 3,50;7622300830083;
RUFFLES CHURRASCO 33G;RR$ 8,90;7892840822965;
CERVEJA PILSEN PURO MALTE EISENBAHN LATA 269ML;RR$ 4,50;7898367984285;
SHAMPOO TRESEMMÉ RECONSTRUÇÃO E FORÇA FRASCO 400ML;RR$ 18,90;7891150018877;
CONDICIONADOR TRESEMMÉ RECONSTRUÇÃO E FORÇA FRASCO 200ML;RR$ 11,90;7891150043398;
ANTITRANSPIRANTE AEROSSOL NIVEA INVISIBLE FOR BLACK & WHITE CLEAR 150ML SPRAY;RR$ 18,90;4005900036667;
ÁLCOOL LÍQUIDO 46º TRADICIONAL ZULU FRASCO 500ML;RR$ 8,30;7896090704736;
BATATA FRITA ONDULADA ORIGINAL ELMA CHIPS RUFFLES PACOTE 33G;RR$ 6,40;7892840822972;
LEITE PÓ INSTANTÂNEO INTEGRAL NINHO LATA 380G;RR$ 24,90;7891000393284;
REFRIGERANTE GUARANÁ ANTARCTICA GARRAFA 2,5L;RR$ 13,40;7891991008655;
ERVA-MATE CHIMARRÃO TRADICIONAL BARÃO DE COTEGIPE PACOTE 500G;RR$ 10,90;7896328200016;
VINHO SAN MARTIN CABERNET SAUVIGNON SUAVE 750ML;RR$ 33,90;7896267704088;
